pd_name,hh_number,female,male,total
PD1,17886,50918,54277,105195
PD2,21016,62711,65400,128111
PD3,25599,75527,79637,155164
PD4,51983,162053,168062,330115
PD5,50082,147991,156747,304738
PD6,57908,165115,172265,337380
PD7,67185,196188,207373,403561
PD8,51311,163528,171953,335481
PD9,45834,142775,147430,290205
PD10,59361,174642,181297,355939
PD11,44715,138351,140229,278580
PD12,7937,24721,26589,51310
PD13,39462,115672,119870,235542
PD15,60925,187454,193637,381091
PD16,27053,80516,84820,165336
PD17,15986,50577,53162,103739
