longitude,latitude,OBJECTID,PD_Name,PD_Number,Shape_Leng,Shape_Area
69.05119574,34.4792849,1,PD13,13,34144.07706,46647490.33
69.10218264,34.45993161,2,PD6,6,35396.04724,48957390.12
69.15313758,34.46647187,3,PD7,7,26339.43335,32675245.09
69.18070277,34.50919073,4,PD1,1,9335.612082,4755062.911
69.22183431,34.48594164,5,PD8,8,36536.82107,48444010.75
69.12780531,34.37345213,6,PD20,20,60114.12722,143572557.8
69.2852805,34.45581842,7,PD22,22,48015.38609,79224513.76
69.25091088,34.52172758,8,PD16,16,33221.89837,25011367.38
69.32442273,34.51904693,9,PD12,12,31724.40013,34874080.63
69.41202061,34.53213874,10,PD21,21,34930.82674,63867006.95
69.24735727,34.54737113,11,PD9,9,32579.14484,24457172.04
69.16040339,34.52535577,12,PD2,2,15440.84716,6765450.133
69.1460836,34.54717976,13,PD4,4,19700.86979,11563416.73
69.13704169,34.51570324,14,PD3,3,13803.55931,9228584.934
69.08023767,34.53212452,15,PD5,5,28141.65666,28869490.8
69.08100808,34.58861631,16,PD17,17,42742.17046,56136632.15
68.97512582,34.58426032,17,PD14,14,52795.64893,127575372
69.18017582,34.54967856,18,PD10,10,14347.03643,13002621.37
69.12647407,34.58470894,19,PD11,11,18885.68718,17350753.77
69.19258216,34.57878996,20,PD15,15,27791.89999,32031895.23
69.2643514,34.60753093,21,PD18,18,28301.96854,33951484.48
69.35818216,34.59658029,22,PD19,19,56941.78139,141627635.5
