data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1365882,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Dih Bala,34.0923,70.469,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
CON1365883,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Khogyani,0,Kaga,34.2409,70.1827,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
CON1734213,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
CON1365900,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),1,12,Southern Asia,Afghanistan,Helmand,Sangin,0,Sangin,32.0728,64.8359,2,BBC Monitoring; Voice of Jihad,Other-national,"Taliban fighters attacked a group of Afghan soldiers and policemen on the evening of January 1, 2018, in the Haji Haidaradi area of Sangin District, Helmand Province. 5 soldiers were killed and 2 others wounded.",5
CON1594899,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Sangin,0,Sangin,32.0728,64.8359,2,BBC Monitoring; Helmand Local Radio,Subnational-national,"Afghan joint forces targeted suspected Taliban militants in Sangin District, Helmand Province, over January 1 and 2, 2018. 10 militants, including 3 commanders, were killed and a mine-making factory was also destroyed. The Taliban reported on January 3, 2018 about similar operations. They claimed that 72 Afghan soldiers (5 coded in separate event), including 5 commanders; 23 Taliban fighters; and 7 villagers were killed. In addition, 33 other soldiers and 13 civilians were wounded. In a separately reported event in the same district, 6 soldiers were killed or injured (half considered fatalities; 100 total fatalities coded across 2 events).",50
CON1734215,2018 January,2,Battle-No change of territory,Taliban and/or Islamic State (Afghanistan),0,NATO: North Atlantic Treaty Organization,Military Forces of United States,8,28,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,Agence France Presse,International,"1 US NATO soldier was killed and 4 others wounded in a combat engagement in Achin District, Nangarhar Province, on January 1, 2018.",1
CON1365884,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Shinwar,0,Shinwar,34.1959,70.8318,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",3
CON1365888,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Surkh Rod,0,Sultanpur,34.412,70.2963,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
CON1365894,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Herat,Obe,0,Obe,34.3697,63.1764,2,BBC Monitoring; Herat TV,Subnational-national,"Clashes occurred between Taliban fighters and Afghan security forces in Obe District, Herat Province, as reported on January 1, 2018. 1 Taliban fighter was killed and 2 others wounded.",1
CON1365903,2018 January,2,Battle-No change of territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Farah,Pusht Rod,0,Pusht Rod,32.4878,62.0576,2,BBC Monitoring; Afghan Islamic Press; Associated Press,National-international,"Taliban fighters ambushed and killed a district police chief in the Madgan area of Pusht Rod District, Farah Province late on January 1, 2018, while he was on his way to help a checkpoint that was under attack. 2 other policemen were wounded.",1
CON1365661,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Logar,Charkh,0,Charkh,33.7971,68.9375,2,BBC Monitoring; Voice of Jihad,Other-national,"Taliban fighters attacked military forces in Charkh District, Logar Province, on the afternoon of January 2, 2018. 3 soldiers were killed or injured (half coded as fatalities).",1
CON1365664,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Faryab,Maymana,0,Maymana,35.9213,64.7841,3,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have killed or injured 10 government soldiers (half coded as fatalities across 2 events) in a series of attacks in Kunduz and Faryab Provinces on January 2, 2018.",2
CON1365667,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Herat,Shindand,0,Shindand,33.3029,62.1474,2,BBC Monitoring; Herat TV,Subnational-national,"Clashes occurred between Taliban fighters and Afghan security forces in Shindand District, Herat Province, as reported on January 2, 2018. 2 militants were killed.",2
CON1365668,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,1,Pajhwok Afghan News,National,"Afghan military forces targeted Taliban fighters in ongoing ground and air operations in Andar District and on the outskirts of Ghazni City, Ghazni Province, on January 2, 2018. 6 militants were killed (coded across 2 events) and 5 others, including 2 commanders, were wounded. The government also claimed to have purged around 20 villages of the militants' presence.",3
CON1365669,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Andar,0,Miray,33.3246,68.4407,2,Pajhwok Afghan News,National,"Afghan military forces targeted Taliban fighters in ongoing ground and air operations in Andar District and on the outskirts of Ghazni City, Ghazni Province, on January 2, 2018. 6 militants were killed (coded across 2 events) and 5 others, including 2 commanders, were wounded. The government also claimed to have purged around 20 villages of the militants' presence.",3
CON1365671,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,3,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have killed 12 government soldiers (5 coded in Logar and 2 in Paktika in separate events; remaining 5 coded in Ghazni) in a series of attacks in Logar, Ghazni, and Paktika Provinces on January 2, 2018.",5
CON1365672,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Alishing,0,Alishing,34.7038,70.1537,2,BBC Monitoring; National Afghanistan TV; Bakhtar News Agency,Subnational-national,"Afghan military forces and Taliban fighters clashed in Alingar and Alishing Districts, Laghman Province, on the night of January 2, 2018. 8-10 Taliban fighters, including 2 commanders, were killed (coded across 2 events).",4
