data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
CON1990494,2018 January,3,Battle-Non-state actor overtakes territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,BBC Monitoring; Shamshad TV,Subnational-national,"Reports on January 31, 2018, that the Taliban recaptured areas of Chardara District, Kunduz Province, that had recently been cleared in mopping-up operations. No reports on specific battles or fatalities.",0
CON1990514,2018 February,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Balkh,Nahri Shahi,0,Nahri Shahi,36.8544,67.18,2,BBC Monitoring; Voice of Jihad,National,"As reported by Taliban sources on February 9th, 8 police personnel were killed when Taliban militants captured a security checkpost between Nahri Saraj and Sangin districts as part of Operation Mansuri.",8
CON1990519,2018 February,3,Battle-Non-state actor overtakes territory,Islamic State (Afghanistan),0,Taliban,0,2,22,Southern Asia,Afghanistan,Laghman,Alingar,0,Dakar Kala,34.8612,70.4602,2,BBC Monitoring; Telegram,Other,"On February 11th, Islamic State militants claim to have captured 11 villages from the Taliban in the Dakar Kala area of Alingar district, Laghman province, following clashes. No casualties were reported.",0
CON1990563,2018 March,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Faryab,Bilchiragh,0,Bilchiragh,35.8403,65.2309,2,Pajhwok Afghan News English,National,"On March 15th, 4 Afghan police personnel were killed, and 7 wounded, during a Taliban offensive in the Archato area of Bilchiragh district, Faryab. As a result, Taliban militants captured 9 police posts and took control of the area, home to around 1000 people.",4
CON1990612,2018 April,3,Battle-Non-state actor overtakes territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Ghazni,Khwaja Umari,0,Khwaja Umari,33.6881,68.4019,2,Khaama Press; BBC Monitoring; Afghan Channel One,National,"On April 11th, the district administrative governor of Khwaja Umari district, the head NDS chief, and 12 other soldiers were killed during a coordinated Taliban attack on the district compounds and check posts. The Taliban controlled the district at the end of the night.",14
CON1990646,2018 April,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-) Afghan Local Police,0,1,12,Southern Asia,Afghanistan,Takhar,Khwaja Ghar,0,Khwaja Ghar,37.0659,69.4213,2,BBC Monitoring; Afghan Islamic Press news agency,National,"On April 27th, 1 Afghan Local Police personnel was killed, and 2 wounded, during an attack by Taliban militants on their posts in the Gortepa area of Khwaja Ghar district, Takhar. Local sources say that with the capture of those posts, Taliban now control Gortepa.",1
CON1990652,2018 April,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Kunduz,Qalay i Zal,0,Aq Tapa,36.97,68.57,2,Reuters; BBC Monitoring; Noor TV,Subnational-International,"On April 28th, Taliban militants captured at least the Aq Tapa area of Qalay I Zal district, Kunduz, after battles with security forces in the area. Taliban claim to have captured 10 security posts, a police headquarters, and a market near the district headquarters (close to the Aq Tapa area). At least 9 militants were killed, 4 injured during the operation.",9
CON1990655,2018 May,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),Military Forces of Afghanistan (2004-),1,12,Southern Asia,Afghanistan,Badakhshan,Kohistan,0,Kohistan,37.4212,70.6563,2,BBC Monitoring; Afghan Islamic Press news agency,National,"On May 2nd, clashes continued between Taliban militants and Afghan military and police forces in Kohistan district of Badakshan. By the end of the day, Taliban forces controlled several parts of the district, however the district headquarters remained under government control.",0
CON1990659,2018 May,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Badakhshan,Kohistan,0,Kohistan,37.4212,70.6563,2,dpa-AFX International ProFeed; BBC Monitoring; Twitter,Local-International,"A total of at least 5 police officers and 2 Taliban militants were killed, and 3 police wounded, during a Taliban offensive spanning May 3rd and 4th, which saw the Taliban capture the district headquarters of Kohistan, Badakshan, in addition to the areas around it, eventively bringing the district under their control on the second day. Fatalities split across two days.",3
CON1990671,2018 May,3,Battle-Non-state actor overtakes territory,Taliban,0,Police Forces of Afghanistan (2004-),Military Forces of Afghanistan (2004-),1,12,Southern Asia,Afghanistan,Baghlan,Tala wa Barfak,0,Tala wa Barfak,35.2793,68.3789,2,Khaama Press; Pajhwok Afghan News English; dpa-AFX International ProFeed,Subnational-National,"On May 8th, a provincial official confirmed that Taliban militants had taken control of Tala wa Barfak district in Baghlan after several hours of fighting. 11 security personnel and 3 civilians were killed during the attack.",14
